Restaurant ID,Restaurant First Active Date,GMV (Gross Merchandise Value) (EUR),Total Sales Before Discount (EUR),Commission (EUR),Bolt Investments to User Discounts (EUR),Restaurant Investments to User Discount (EUR),Net Rate (%),Requested Orders,Total Number of Delivered Orders,Monthly Active Users,New Users,Menu Conversion (%),Availability Rate (%),Menu Photo Coverage (%),restaurant Average Rates,Restaurant Total Rates,Restaurant Avergae Cooking Time
53525,44904,11034.40276,9528.741547,857.5875557,-4.21895623,3813.174,0.07810178,634,628,524,9,0.096002422,0.988959253,1,,0,3.886942625
58766,44901,527.188149,492.005933,91.019559,7.90430871,0,0.02594057,38,37,30,3,0.251655638,1,0.884664953,1.799999952,9,13.62162209
58749,44901,2486.25146,2357.422923,436.1125017,48.59262426,0,0.0366967,180,178,142,8,0.154576853,1,0.883387625,4.090909004,90,17.51123619
58762,44901,440.196696,420.502647,77.78879371,34.59944715,0,0.01155288,26,25,23,8,0.181159422,1,0.884664953,5,5,16.84000015
58757,44901,333.245076,317.842002,58.80203334,24.80131173,0,-0.02673704,27,24,22,5,0.10546875,1,0.884664953,3,9,21.16666603
58740,44901,1856.5988,1722.75275,318.7315911,29.70840111,0,0.03087264,141,140,117,5,0.226537213,1,0.994630098,3.363636255,37,24.2857151
58761,44901,1207.555988,1135.898256,210.1368974,13.01485372,0,0.0369793,105,98,81,4,0.14305751,1,0.884879112,3.357142925,47,16.22448921
58755,44901,1677.341846,1569.030187,290.2540055,36.53020009,0,0.00431266,137,133,118,10,0.16042155,1,0.883615077,3.5,70,22.54135323
58745,44901,1019.35139,963.948835,178.3306912,24.98995855,0,0.02613006,78,77,72,3,0.16352202,1,0.884664953,3.555555582,32,15.61038971
58754,44901,425.721437,400.630568,74.11539036,26.56974401,0,0.00663646,33,31,28,6,0.166666672,1,0.884664953,1.75,7,15.61290359
58817,44901,1661.722532,1577.632487,291.8582954,55.59475305,0,0.01422516,134,128,104,11,0.189228535,1,0.972129583,3.363636255,37,13.015625
58752,44901,1316.709288,1243.430488,230.0324889,30.38935563,0,0.03343011,105,101,88,5,0.178082198,1,0.884441555,4,32,15.09900951
58753,44901,1877.425276,1769.881517,327.4153331,39.09596385,0,0.00516595,139,139,113,5,0.193820223,1,0.883615077,3.84210515,73,27.11510849
